ordinal,question,expected_answer,actual_answer,route,failure_cluster,latency_ms,estimated_cost_inr,metrics
1,What is Section 7 of the RTI Act about?,Section 7 sets out how a request must be disposed of: the PIO must provide the information or reject the request within 30 days of receipt (48 hours if it concerns the life or liberty of a person). If the fee is not paid the timeline stops until payment.,"Section 7 of the Right to Information Act, 2005, outlines the process and timelines for a public authority to respond to an information request. It requires the Central or State Public Information Officer to provide the requested information within thirty days of receiving the request. If the information concerns a person's life or liberty, it must be provided within forty-eight hours. If the officer fails to give a decision within the thirty-day period, it is considered a refusal of the request. The section also details the rules for fees, stating that if a public authority fails to meet the time limit, the applicant is entitled to the information free of charge. If a request is rejected, the officer must provide the reasons for the rejection, the time limit for filing an appeal, and the details of the appellate authority. Additionally, it mandates that assistance be provided to persons with disabilities to access information and that information should be provided in the requested format unless doing so would be excessively costly or damage the record.",QDRANT,retrieval_miss,28151.73119999963,0.05646,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":28151.731,""recall_at_5"":0.0,""faithfulness"":0.8,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.7,""hallucination_score"":0.2,""citation_correctness"":0.0}"
2,Within how many days must a PIO respond to an RTI application?,"30 days from the date of receipt of the request, or 48 hours if the information concerns life or liberty of a person.","A Public Information Officer (PIO) must respond to an RTI application within 30 days of receiving the request.

If the information sought concerns the life or physical liberty of a person, it must be provided within 48 hours.

If the PIO fails to give a decision within the 30-day period, the request is considered to have been refused.",QDRANT,retrieval_miss,14082.772900001146,0.042472,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":14082.773,""recall_at_5"":0.0,""faithfulness"":0.9,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.9,""hallucination_score"":0.1,""citation_correctness"":0.0}"
3,What is the time limit when the request is transferred to another public authority?,"If part or all of the request is transferred under Section 6(3), the response period is 30 days from the date the transferee public authority receives the transferred request, not from the original date of filing.","When a request is transferred to another public authority, the original timeline pauses. The receiving department is then given a new 30 days to respond. You should be informed about the transfer within 5 days.",QDRANT,retrieval_miss,19130.10970000323,0.036508,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":19130.11,""recall_at_5"":0.0,""faithfulness"":0.7,""precision_at_5"":0.0,""context_relevance"":0.8,""route_correctness"":1.0,""answer_completeness"":0.6,""hallucination_score"":0.3,""citation_correctness"":0.0}"
4,What information is exempt from disclosure under Section 8?,"Section 8(1) exempts categories such as information affecting national security, sovereignty and strategic interests, cabinet papers, information that would impede an investigation, trade secrets, personal information with no public interest, and information received in confidence from a foreign government, among others.","धारा 8(1) सूचना की दस श्रेणियों को निर्दिष्ट करती है जिन्हें सार्वजनिक प्राधिकरण द्वारा प्रकटीकृत करने के लिए बाध्य नहीं किया जाता है:

- (क) संप्रभुता और सुरक्षा: वह सूचना जिसका प्रकटीकरण भारत की संप्रभुता और अखंडता, राज्य की सुरक्षा, राज्य के रणनीतिक, वैज्ञानिक या आर्थिक हितों, या विदेशी राज्यों के साथ संबंधों को प्रतिकूल रूप से प्रभावित करेगा, अथवा अपराध के लिए उकसावा करेगा।
- (ख) न्यायालय के आदेश: वह सूचना जिसे किसी भी न्यायालय या न्यायाधिकरण द्वारा प्रकाशित करने के लिए स्पष्ट रूप से वर्जित किया गया है, या जिसका प्रकटीकरण न्यायालय की अवमानना माना जा सकता है।
- (ग) विधायी विशेषाधिकार: वह सूचना जिसका प्रकटीकरण संसद या राज्य विधानमंडल के विशेषाधिकार का उल्लंघन करेगा।
- (घ) वाणिज्यिक गोपनीयता: वह सूचना जिसमें वाणिज्यिक गोपनीयता, व्यापार रहस्य, या बौद्धिक संपदा शामिल है, जिसका प्रकटीकरण किसी तीसरे पक्ष की प्रतिस्पर्धी स्थिति को नुकसान पहुँचाएगा। हालाँकि, यदि सक्षम प्राधिकारी यह संतुष्ट है कि बड़े सार्वजनिक हित से प्रकटीकरण उचित है, तो इस छूट को अधिरोहित (override) किया जा सकता है।
- (ङ) विश्वासपात्र सूचना (Fiduciary Information): वह सूचना जो किसी व्यक्ति को उसके विश्वासपात्र संबंध में उपलब्ध है। हालाँकि, यदि सक्षम प्राधिकारी यह संतुष्ट है कि बड़े सार्वजनिक हित से प्रकटीकरण उचित है, तो इस छूट को अधिरोहित किया जा सकता है।
- (च) विदेशी सरकार की सूचना: विदेशी सरकार से गोपनीयता में प्राप्त सूचना।
- (छ) जीवन और सुरक्षा: वह सूचना जिसका प्रकटीकरण किसी व्यक्ति के जीवन या शारीरिक सुरक्षा को खतरे में डालेगा, या कानून प्रवर्तन या सुरक्षा उद्देश्यों के लिए गोपनीयता में दी गई सूचना या सहायता के स्रोत की पहचान करेगा।
- (ज) जाँच: वह सूचना जो जाँच की प्रक्रिया या अपराधियों की गिरफ्तारी या अभियोजन में बाधा डालेगी।
- (झ) मंत्रिमंडल के कागजात: मंत्रिमंडल के कागजात जिनमें मंत्रिमंडल की परिषद, सचिवों और अन्य अधिकारियों के विचार-विमर्श के रिकॉर्ड शामिल हैं। बशर्ते कि मंत्रिमंडल की परिषद के निर्णय और उनके कारण, तथा जिन आधारों पर निर्णय लिए गए थे, वह सामग्री निर्णय लिए जाने के बाद और विषय के पूर्ण या समाप्त होने के पश्चात जनता को उपलब्ध कराई जाएगी। वे विषय जो उप-धारा (1) में निर्दिष्ट छूटों के अंतर्गत आते हैं, प्रकटीकृत नहीं किए जाएंगे।
- (ञ) व्यक्तिगत गोपनीयता: वह सूचना जो व्यक्तिगत सूचना से संबंधित है जिसका प्रकटीकरण किसी सार्वजनिक गतिविधि या व्यक्ति के हित से संबंधित नहीं है, या जो व्यक्ति की गोपनीयता में अनुचित हस्तक्षेप का कारण बनेगी। अपवाद: पी आई ओ (PIO) या अपीलीय प्राधिकारी यह संतुष्ट कर सकता है कि बड़े सार्वजनिक हित से प्रकटीकरण उचित है। बशर्ते कि वह सूचना जिसे संसद या राज्य विधानमंडल को नहीं दी जा सकती, किसी व्यक्ति को भी नहीं दी जा सकती।

धारा 8(2) - सार्वजनिक हित अधिरोहित (Public Interest Override): राजपत्रिकीय गुप्त अधिनियम, 1923 या किसी भी छूट के बावजूद, यदि प्रकटीकरण में सार्वजनिक हित का महत्व संरक्षित हितों को होने वाले किसी भी संभावित नुकसान या चोट से अधिक है, तो सार्वजनिक प्राधिकरण सूचना तक पहुँच की अनुमति दे सकता है।

धारा 8(3) बीस-वर्षीय नियम: किसी भी घटना, घटनाक्रम या विषय से संबंधित कोई भी सूचना जो अनुरोध किए जाने की तिथि से बीस वर्ष पहले हुई",QDRANT,retrieval_miss,31857.26099999738,0.074128,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":31857.261,""recall_at_5"":0.0,""faithfulness"":0.8,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.9,""hallucination_score"":0.1,""citation_correctness"":0.0}"
5,Can exempted information still be disclosed after some time has passed?,"Yes. Section 8(3) provides that most exemptions under 8(1)(a) to (i) cease to apply after 20 years from the date the matter arose, and the information must then be provided on request.",I am here to help you find the information from suchna aayog.,QDRANT,retrieval_miss,12462.61489999597,0.036808,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":12462.615,""recall_at_5"":0.0,""faithfulness"":0.0,""precision_at_5"":0.0,""context_relevance"":0.2,""route_correctness"":1.0,""answer_completeness"":0.0,""hallucination_score"":1.0,""citation_correctness"":0.0}"
6,What is the fee for filing an RTI application under the Central Rules?,"The prescribed application fee under the Central RTI Rules is Rs. 10, payable by cash, demand draft, banker's cheque, or court fee stamp, as specified.",The application fee for filing an RTI is greater than 310. There is also a separate charge of 22 per page for copies.,QDRANT,retrieval_miss,15041.465599999356,0.03914,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":15041.466,""recall_at_5"":0.0,""faithfulness"":0.1,""precision_at_5"":0.0,""context_relevance"":0.2,""route_correctness"":1.0,""answer_completeness"":0.0,""hallucination_score"":0.9,""citation_correctness"":0.0}"
7,How does a citizen file a first appeal if no response is received?,"Under Section 19(1), if no decision is received within the time limit or the applicant is aggrieved by the decision, they may file a first appeal within 30 days to the officer senior in rank to the PIO in that public authority.","If a person does not receive a decision within the time specified, they can file a first appeal. The appeal must be submitted within thirty days from the expiry of that period to the senior appellate authority of the Public Information Officer.

The submission must include a memorandum of appeal and a fee of Rs. 50. If the appeal order is required to be sent by post, the fee is Rs. 75. The fee can be paid in cash or with a non-judicial stamp.

The memorandum of appeal must clearly state the name and address of the appellant, the name and designation of the Public Information Officer, and the order regarding the failure to provide information within the prescribed period.

However, the senior appellate authority may admit the appeal after the thirty-day period if they are satisfied that the appellant was prevented by sufficient cause from filing the appeal on time.",QDRANT,retrieval_miss,21749.288600003638,0.039792,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":21749.289,""recall_at_5"":0.0,""faithfulness"":0.9,""precision_at_5"":0.0,""context_relevance"":0.8,""route_correctness"":1.0,""answer_completeness"":0.7,""hallucination_score"":0.1,""citation_correctness"":0.0}"
8,What is the time limit for filing a second appeal to the Information Commission?,Section 19(3) allows a second appeal to the Central or State Information Commission within 90 days from the date on which the decision on the first appeal was received or should have been received.,"An application for a second appeal to the Central Information Commission or the State Information Commission must be submitted within ninety days from the date on which the decision should have been made or was actually received.

The Commission may admit the appeal after the expiry of the ninety-day period if it is satisfied that the appellant was prevented by sufficient cause from filing the appeal in time.",QDRANT,retrieval_miss,16188.282700000855,0.03496,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":16188.283,""recall_at_5"":0.0,""faithfulness"":0.9,""precision_at_5"":0.0,""context_relevance"":0.9,""route_correctness"":1.0,""answer_completeness"":0.8,""hallucination_score"":0.1,""citation_correctness"":0.0}"
9,What penalty can be imposed on a PIO for delay or refusal without reasonable cause?,"Under Section 20(1), the Commission may impose a penalty of Rs. 250 per day of delay, subject to a maximum of Rs. 25,000, on a PIO who without reasonable cause refused to receive an application, did not furnish information within the time limit, malafidely denied the request, or gave incorrect, incomplete or misleading information.","According to the reference material, if a person intentionally obstructs a PIO in the discharge of their duties, the penalty is imprisonment for up to 3 months OR a fine of up to 3250 (applicable from 2005).",QDRANT,retrieval_miss,1950.2024999965215,0.012748,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":1950.202,""recall_at_5"":0.0,""faithfulness"":0.0,""precision_at_5"":0.0,""context_relevance"":0.1,""route_correctness"":1.0,""answer_completeness"":0.0,""hallucination_score"":1.0,""citation_correctness"":0.0}"
10,"Does the RTI Act override the Official Secrets Act, 1923?","Yes. Section 22 states that the provisions of the RTI Act have effect notwithstanding anything inconsistent in the Official Secrets Act, 1923, or any other law, instrument, or rule having force by virtue of any law other than this Act.","Yes. The RTI Act supersedes the Official Secrets Act, 1923. Section 8(2) allows for disclosure if the public interest in disclosure outweighs the official secrecy.",QDRANT,retrieval_miss,10639.13739999407,0.031504,"{""mrr"":0.0,""ndcg"":0.0,""latency_ms"":10639.137,""recall_at_5"":0.0,""faithfulness"":0.4,""precision_at_5"":0.0,""context_relevance"":0.8,""route_correctness"":1.0,""answer_completeness"":0.3,""hallucination_score"":0.6,""citation_correctness"":0.2}"
